Label_ID,Label_Name,TP,TN,FP,FN,Accuracy,Precision,Recall,Specificity,F1_Score
0,ACK_Fragmentation,59241,622507,802,487,0.9981,0.9866,0.9918,0.9987,0.9892
1,BenignTraffic,70139,610691,1924,283,0.9968,0.9733,0.996,0.9969,0.9845
2,CONNECT_Attack,19802,655402,4751,3082,0.9885,0.8065,0.8653,0.9928,0.8349
3,DELAY_CONNECT_Attack,29817,645387,3082,4751,0.9885,0.9063,0.8626,0.9952,0.8839
4,ICMP_Flood,44857,624815,179,13186,0.9804,0.996,0.7728,0.9997,0.8703
5,ICMP_Fragmentation,72734,596439,13303,561,0.9797,0.8454,0.9923,0.9782,0.913
6,PSHACK_Flood,50376,632130,185,346,0.9992,0.9963,0.9932,0.9997,0.9948
7,RSTFINFlood,53007,629869,139,22,0.9998,0.9974,0.9996,0.9998,0.9985
8,SYN_Flood,48515,622810,7677,4035,0.9829,0.8634,0.9232,0.9878,0.8923
9,Subscription_Attack,31526,651492,2,17,1.0,0.9999,0.9995,1.0,0.9997
10,SynonymousIP_Flood,33780,637864,3818,7575,0.9833,0.8985,0.8168,0.9941,0.8557
11,TCP_ACK_Flood,30496,651439,78,1024,0.9984,0.9974,0.9675,0.9999,0.9823
12,UDP_Flood,44159,631781,4139,2958,0.9896,0.9143,0.9372,0.9935,0.9256
13,UDP_Fragmentation,31187,644406,2846,4598,0.9891,0.9164,0.8715,0.9956,0.8934
14,WILL_Payload_Attack,20476,662561,0,0,1.0,1.0,1.0,1.0,1.0
