Label_ID,Label_Name,TP,TN,FP,FN,Accuracy,Precision,Recall,Specificity,F1_Score
0,ACK_Fragmentation,59467,622911,398,261,0.999,0.9934,0.9956,0.9994,0.9945
1,BenignTraffic,70413,612467,148,9,0.9998,0.9979,0.9999,0.9998,0.9989
2,CONNECT_Attack,22003,658404,1749,881,0.9961,0.9264,0.9615,0.9974,0.9436
3,DELAY_CONNECT_Attack,32819,647588,881,1749,0.9961,0.9739,0.9494,0.9986,0.9615
4,ICMP_Flood,44854,624848,146,13189,0.9805,0.9968,0.7728,0.9998,0.8706
5,ICMP_Fragmentation,72912,596332,13410,383,0.9798,0.8447,0.9948,0.978,0.9136
6,PSHACK_Flood,50694,631989,326,28,0.9995,0.9936,0.9994,0.9995,0.9965
7,RSTFINFlood,53005,629865,143,24,0.9998,0.9973,0.9995,0.9998,0.9984
8,SYN_Flood,35408,627564,2923,17142,0.9706,0.9237,0.6738,0.9954,0.7792
9,Subscription_Attack,30644,651362,132,899,0.9985,0.9957,0.9715,0.9998,0.9835
10,SynonymousIP_Flood,38435,624632,17050,2920,0.9708,0.6927,0.9294,0.9734,0.7938
11,TCP_ACK_Flood,30496,651507,10,1024,0.9985,0.9997,0.9675,1,0.9833
12,UDP_Flood,44350,631691,4229,2767,0.9898,0.9129,0.9413,0.9933,0.9269
13,UDP_Fragmentation,31528,644031,3221,4257,0.9891,0.9073,0.881,0.995,0.894
14,WILL_Payload_Attack,19933,662497,64,543,0.9991,0.9968,0.9735,0.9999,0.985
