Label_ID,Label_Name,TP,TN,FP,FN,Accuracy,Precision,Recall,Specificity,F1_Score
0,ACK_Fragmentation,59183,620934,2375,545,0.9957,0.9614,0.9909,0.9962,0.9759
1,BenignTraffic,68849,611559,1056,1573,0.9962,0.9849,0.9777,0.9983,0.9813
2,CONNECT_Attack,20911,656901,3252,1973,0.9924,0.8654,0.9138,0.9951,0.8889
3,DELAY_CONNECT_Attack,31322,646413,2056,3246,0.9922,0.9384,0.9061,0.9968,0.922
4,ICMP_Flood,45152,623755,1239,12891,0.9793,0.9733,0.7779,0.998,0.8647
5,ICMP_Fragmentation,70114,596700,13042,3181,0.9762,0.8432,0.9566,0.9786,0.8963
6,PSHACK_Flood,50691,631623,692,31,0.9989,0.9865,0.9994,0.9989,0.9929
7,RSTFINFlood,53007,629869,139,22,0.9998,0.9974,0.9996,0.9998,0.9985
8,SYN_Flood,29880,629362,1125,22670,0.9652,0.9637,0.5686,0.9982,0.7152
9,Subscription_Attack,31413,651493,1,130,0.9998,1.0,0.9959,1.0,0.9979
10,SynonymousIP_Flood,40228,619119,22563,1127,0.9653,0.6407,0.9727,0.9648,0.7725
11,TCP_ACK_Flood,30497,651364,153,1023,0.9983,0.995,0.9675,0.9998,0.9811
12,UDP_Flood,45426,630189,5731,1691,0.9891,0.888,0.9641,0.991,0.9245
13,UDP_Fragmentation,30595,645374,1878,5190,0.9897,0.9422,0.855,0.9971,0.8965
14,WILL_Payload_Attack,20467,662561,0,9,1.0,1.0,0.9996,1.0,0.9998
