Label_ID,Label_Name,TP,TN,FP,FN,Accuracy,Precision,Recall,Specificity,F1_Score
0,ACK_Fragmentation,38630,622874,435,21098,0.9685,0.9889,0.6468,0.9993,0.782
1,BenignTraffic,50919,611445,1170,19503,0.9697,0.9775,0.7231,0.9981,0.8313
2,CONNECT_Attack,0,659748,405,22884,0.9659,0.0,0.0,0.9994,0.0
3,DELAY_CONNECT_Attack,34470,607754,40715,98,0.9402,0.4585,0.9972,0.9372,0.6281
4,ICMP_Flood,57964,590258,34736,79,0.949,0.6253,0.9986,0.9444,0.769
5,ICMP_Fragmentation,39245,609516,226,34050,0.9498,0.9943,0.5354,0.9996,0.696
6,PSHACK_Flood,43005,620023,12292,7717,0.9707,0.7777,0.8479,0.9806,0.8113
7,RSTFINFlood,52886,629860,148,143,0.9996,0.9972,0.9973,0.9998,0.9973
8,SYN_Flood,22712,629116,1371,29838,0.9543,0.9431,0.4322,0.9978,0.5927
9,Subscription_Attack,31513,634847,16647,30,0.9756,0.6543,0.999,0.9744,0.7908
10,SynonymousIP_Flood,39916,612140,29542,1439,0.9546,0.5747,0.9652,0.954,0.7204
11,TCP_ACK_Flood,13444,650420,1097,18076,0.9719,0.9246,0.4265,0.9983,0.5837
12,UDP_Flood,46686,619696,16224,431,0.9756,0.7421,0.9909,0.9745,0.8486
13,UDP_Fragmentation,20030,631174,16078,15755,0.9534,0.5547,0.5597,0.9752,0.5572
14,WILL_Payload_Attack,20476,662506,55,0,0.9999,0.9973,1.0,0.9999,0.9987
