Label_ID,Label_Name,TP,TN,FP,FN,Accuracy,Precision,Recall,Specificity,F1_Score
0,ACK_Fragmentation,59470,623015,294,258,0.9992,0.9951,0.9957,0.9995,0.9954
1,BenignTraffic,70417,611933,682,5,0.999,0.9904,0.9999,0.9989,0.9951
2,CONNECT_Attack,21468,658322,1831,1416,0.9952,0.9214,0.9381,0.9972,0.9297
3,DELAY_CONNECT_Attack,32737,647053,1416,1831,0.9952,0.9585,0.947,0.9978,0.9528
4,ICMP_Flood,44864,624847,147,13179,0.9805,0.9967,0.7729,0.9998,0.8707
5,ICMP_Fragmentation,72822,596445,13297,473,0.9798,0.8456,0.9935,0.9782,0.9136
6,PSHACK_Flood,50708,632049,266,14,0.9996,0.9948,0.9997,0.9996,0.9972
7,RSTFINFlood,53007,629869,139,22,0.9998,0.9974,0.9996,0.9998,0.9985
8,SYN_Flood,35361,627527,2960,17189,0.9705,0.9228,0.6729,0.9953,0.7783
9,Subscription_Attack,31543,651494,0,0,1.0,1.0,1.0,1.0,1.0
10,SynonymousIP_Flood,38398,624508,17174,2957,0.9705,0.691,0.9285,0.9732,0.7923
11,TCP_ACK_Flood,30496,651517,0,1024,0.9985,1.0,0.9675,1.0,0.9835
12,UDP_Flood,44304,631774,4146,2813,0.9898,0.9144,0.9403,0.9935,0.9272
13,UDP_Fragmentation,31531,644169,3083,4254,0.9893,0.9109,0.8811,0.9952,0.8958
14,WILL_Payload_Attack,20476,662561,0,0,1.0,1.0,1.0,1.0,1.0
