Label_ID,Label_Name,TP,TN,FP,FN,Accuracy,Precision,Recall,Specificity,F1_Score
0,ACK_Fragmentation,59491,622928,381,237,0.9991,0.9936,0.996,0.9994,0.9948
1,BenignTraffic,70417,612457,158,5,0.9998,0.9978,0.9999,0.9997,0.9988
2,CONNECT_Attack,21578,658897,1256,1306,0.9962,0.945,0.9429,0.9981,0.944
3,DELAY_CONNECT_Attack,33312,647163,1306,1256,0.9962,0.9623,0.9637,0.998,0.963
4,ICMP_Flood,44860,624851,143,13183,0.9805,0.9968,0.7729,0.9998,0.8707
5,ICMP_Fragmentation,73083,596053,13689,212,0.9796,0.8422,0.9971,0.9775,0.9132
6,PSHACK_Flood,50694,632032,283,28,0.9995,0.9944,0.9994,0.9996,0.9969
7,RSTFINFlood,53007,629865,143,22,0.9998,0.9973,0.9996,0.9998,0.9984
8,SYN_Flood,49541,620308,10179,3009,0.9807,0.8296,0.9427,0.9839,0.8825
9,Subscription_Attack,31542,651494,0,1,1.0,1.0,1.0,1.0,1.0
10,SynonymousIP_Flood,31288,638826,2856,10067,0.9811,0.9164,0.7566,0.9955,0.8288
11,TCP_ACK_Flood,30496,651517,0,1024,0.9985,1.0,0.9675,1.0,0.9835
12,UDP_Flood,45070,631283,4637,2047,0.9902,0.9067,0.9566,0.9927,0.931
13,UDP_Fragmentation,30984,645085,2167,4801,0.9898,0.9346,0.8658,0.9967,0.8989
14,WILL_Payload_Attack,20476,662561,0,0,1.0,1.0,1.0,1.0,1.0
