feature,importance
Protocol Type,0.16010813029284937
mqtt_connect_count,0.09280270022040044
Tot sum,0.08938209455225544
syn_flag_number,0.08135051638646683
fin_flag_number,0.08130882599580816
mqtt_sub_count,0.08118953874501926
psh_flag_number,0.07135543950517692
Magnitue,0.06799249242232179
ack_count,0.05529565440701299
Min,0.04496956837716393
UDP,0.0393940380312549
rst_count,0.02841858814620421
flow_duration,0.02673792933103146
ack_flag_number,0.019816556388646888
fin_count,0.01892599501196174
rst_flag_number,0.018303610482418287
AVG,0.00625675886622391
Max,0.006019419686355647
IAT,0.005546919954916935
syn_count,0.0019554383364550685
Number,0.0006362141963026034
ICMP,0.0005081485213508444
Tot size,0.0004220491332598475
Rate,0.0003384355717261912
Std,0.0002439639346983636
urg_count,0.0002038883290067653
HTTP,0.00020258565997547065
Radius,8.466563886891608e-05
Duration,6.185026225213491e-05
Header_Length,4.269207365059251e-05
Weight,2.9941953004537193e-05
SMTP,1.1510019671449584e-05
mqtt_will_count,9.538334541892199e-06
LLC,8.44785850960908e-06
TCP,7.613238953949461e-06
IRC,6.883770195582976e-06
mqtt_publish_count,6.872634624310767e-06
Covariance,6.843963441624711e-06
Drate,5.624136976105211e-06
mqtt_auth_fail,4.356399970452313e-06
SSH,4.127829227935698e-06
mqtt_avg_topic,3.951187347063677e-06
mqtt_avg_payload,3.7196667682031027e-06
Variance,3.267602702059188e-06
DHCP,2.393315420917482e-06
DNS,2.3844687150311025e-06
ARP,2.3071007560419587e-06
Telnet,1.8106188576238025e-06
HTTPS,1.5979374279730574e-06
mqtt_dirty_sess,1.5079226991112856e-06
cwr_flag_number,5.915791525627667e-07
Srate,0.0
ece_flag_number,0.0
IPv,0.0
