feature,importance
Protocol Type,62436018.36294761
psh_flag_number,51261724.4908223
syn_flag_number,49770754.07750288
fin_flag_number,34790286.64667052
Tot sum,33818888.2096664
ack_flag_number,32482300.634281874
mqtt_connect_count,30308295.055647492
UDP,29011206.741820574
rst_flag_number,26825992.79128863
ICMP,26456604.93122539
Tot size,20573345.511888474
mqtt_sub_count,19751729.14260626
Variance,19170726.99356699
ack_count,18960850.796527624
syn_count,17758225.355513453
flow_duration,16491322.025930405
TCP,15631352.429681778
Magnitue,13416676.326363355
Min,11717806.890916348
Max,11526523.665278852
fin_count,10504084.549019456
mqtt_avg_payload,8464014.560148954
rst_count,7980090.282328129
AVG,5706887.303612232
Weight,4985473.2991997
Header_Length,4852425.206220627
Std,4699257.204799652
urg_count,4145028.4950783104
Radius,2795918.7343552113
mqtt_avg_topic,2779687.1488395333
mqtt_publish_count,2175699.176834345
Duration,1968916.8424649239
IAT,1854851.076695919
Number,1347261.0921120644
LLC,810950.6671667099
Covariance,695455.089949131
Rate,681034.6958127022
Srate,523648.2760858536
HTTPS,271912.0843372345
HTTP,63485.518042087555
IRC,7347.4891901016235
DHCP,5204.377188444138
ARP,4542.0108869075775
DNS,4203.219330787659
SMTP,3957.288914680481
mqtt_dirty_sess,3585.7915983200073
Drate,3351.0808622837067
Telnet,3284.967615365982
cwr_flag_number,3277.6162774562836
mqtt_auth_fail,3101.6119554042816
mqtt_will_count,3094.972692489624
IPv,3076.0213918685913
ece_flag_number,2934.9549531936646
SSH,2913.5636372566223
