feature,importance
Protocol Type,0.07878498302511232
psh_flag_number,0.0753240615384648
syn_flag_number,0.06427485726302107
rst_flag_number,0.05375509145145286
fin_flag_number,0.05309972970273544
Tot sum,0.046471329158328904
mqtt_sub_count,0.04492600948185461
mqtt_connect_count,0.04289057301849506
ICMP,0.0409050168336854
ack_flag_number,0.03950413520047434
Tot size,0.037485079112452656
flow_duration,0.03561010829878808
ack_count,0.03542227366353206
syn_count,0.031198468503429996
Magnitue,0.028356530425949697
fin_count,0.026561461063824038
Std,0.026298854962756725
TCP,0.025252549766641888
UDP,0.023114486675423967
Max,0.023072613424161847
Variance,0.022283747796516883
mqtt_avg_payload,0.021778201604561464
Min,0.019271500865587293
AVG,0.016564931148957823
Radius,0.013366652947423866
rst_count,0.012275612294403672
Header_Length,0.010952692862173177
Weight,0.010670589521701872
IAT,0.006614972213966973
Duration,0.005117116214478871
Covariance,0.004724315619551253
Number,0.004417625958201045
urg_count,0.004403635086261797
LLC,0.004125240274125451
mqtt_publish_count,0.0033028168289622934
Rate,0.001858218900517586
mqtt_avg_topic,0.001825956626312821
Srate,0.001374466524584241
HTTPS,0.0011506419163877224
HTTP,0.0002601540419848654
Drate,0.0002460708380407296
IRC,0.00010702824047462978
DHCP,9.497643283090654e-05
SMTP,9.267882090578827e-05
DNS,8.525018762382018e-05
SSH,8.404196331201448e-05
IPv,8.25764773423958e-05
cwr_flag_number,8.199035187640795e-05
Telnet,8.16274308800047e-05
ARP,8.140699913636743e-05
mqtt_dirty_sess,8.053132838369779e-05
mqtt_will_count,7.955823046023739e-05
mqtt_auth_fail,7.82110382732581e-05
ece_flag_number,7.674984321293462e-05
