feature,importance
Protocol Type,0.10637153
UDP,0.069522016
ICMP,0.0685143
mqtt_sub_count,0.067115106
syn_flag_number,0.059891053
fin_flag_number,0.05541066
psh_flag_number,0.054332584
ack_flag_number,0.04151079
mqtt_avg_payload,0.03837927
mqtt_connect_count,0.038108975
rst_flag_number,0.034784395
Tot sum,0.031928252
Variance,0.030265965
TCP,0.030154703
syn_count,0.029919878
Min,0.022434212
fin_count,0.022247123
Tot size,0.020470403
Magnitue,0.019832486
ack_count,0.019194596
Radius,0.01701179
urg_count,0.016587177
rst_count,0.0147047695
Header_Length,0.0137273185
AVG,0.013635657
Max,0.013207477
flow_duration,0.011309911
Std,0.009716196
Weight,0.0064013344
Duration,0.0046927584
IAT,0.0035575985
Covariance,0.0035493358
mqtt_avg_topic,0.0033881848
Number,0.0017720038
Srate,0.001762658
LLC,0.001013934
Rate,0.0008700643
mqtt_publish_count,0.0007786986
HTTPS,0.0007465434
HTTP,0.00029681
Drate,0.00020620783
IRC,6.4063526e-05
SMTP,5.520717e-05
DNS,5.2423922e-05
DHCP,5.2193835e-05
mqtt_will_count,5.183548e-05
ARP,5.181921e-05
ece_flag_number,5.0802864e-05
Telnet,5.0314447e-05
cwr_flag_number,5.0114922e-05
IPv,5.00265e-05
mqtt_dirty_sess,4.9989703e-05
SSH,4.8346832e-05
mqtt_auth_fail,4.8071364e-05
